nama,kategori,kabupaten_kota,deskripsi,harga_tiket,jam_operasional,fasilitas,rating,latitude,longitude,kontak,tips,foto_url,foto_kredit
Pulau Kadatua,bahari,Buton Selatan,"Pulau dengan pantai berpasir putih dan tebing karst yang menawan, serta perkampungan nelayan tradisional yang masih asri.",Rp 15.000 + perahu,07:00 - 17:00,"Perahu penyeberangan, homestay warga",4.3,-5.5789,122.5321,0811-4000-020,Naik perahu dari Pelabuhan Baubau sekitar 30 menit,,
Pantai Lakeba,bahari,Buton Selatan,"Pantai tenang dengan air jernih dan pemandangan perbukitan hijau di kejauhan, masih jarang dikunjungi wisatawan luar daerah.",Rp 5.000,06:00 - 18:00,Parkir sederhana,3.8,-5.5234,122.5567,0811-4000-021,Cocok untuk wisata sepi dan camping ringan,,
Pantai Wisata Mawasangka,bahari,Buton Tengah,"Pantai landai dengan hamparan pasir putih luas, populer untuk kegiatan keluarga dan komunitas di akhir pekan.",Rp 5.000,06:00 - 18:00,"Parkir, gazebo, warung",3.9,-5.2451,122.3654,0811-4000-022,Bawa tikar sendiri untuk piknik keluarga,,
Danau Napabale,alam,Muna,"Danau unik yang terhubung langsung ke laut melalui terowongan alami di bawah bukit karst, dapat dilalui perahu saat air surut.",Rp 10.000 + perahu,07:00 - 17:00,"Perahu sewa, gazebo, parkir",4.6,-4.9521,122.5987,0811-4000-023,Kunjungi saat air laut surut agar bisa melewati terowongan menuju laut lepas,,
Goa Liangkabori,sejarah,Muna,Situs prasejarah berupa gua dengan lukisan dinding purba berusia ribuan tahun peninggalan manusia praaksara Muna.,Rp 10.000,08:00 - 17:00,"Pemandu, parkir, jalur tangga",4.2,-4.8654,122.5432,0811-4000-024,Gunakan jasa pemandu setempat untuk penjelasan sejarah lukisan gua,,
Pantai Meleura,bahari,Muna,"Pantai yang kerap disebut mirip Raja Ampat versi Muna, dengan gugusan pulau karang kecil dan air laut jernih kehijauan.",Rp 10.000 + perahu,07:00 - 17:00,"Perahu wisata, gazebo",4.5,-4.6789,122.7123,0811-4000-025,Sewa perahu nelayan setempat untuk berkeliling gugusan karang,,
Permandian Alam Laino,alam,Muna Barat,"Mata air alami jernih yang membentuk kolam permandian sejuk di tengah perkampungan, populer sebagai wisata keluarga.",Rp 5.000,06:00 - 18:00,"Kolam permandian, parkir, warung",3.9,-4.7123,122.4567,0811-4000-026,Ramai dikunjungi warga lokal saat akhir pekan,,
Taman Nasional Wakatobi,bahari,Wakatobi,"Salah satu pusat segitiga terumbu karang dunia (Coral Triangle) dengan lebih dari 750 spesies karang dan ratusan spesies ikan, surga diving dan snorkeling kelas dunia.",Rp 25.000 (lokal) / lebih tinggi untuk wisatawan asing,24 jam,"Dive center, resort, penyewaan alat snorkeling",4.9,-5.35,123.6,0811-4000-027,Rencanakan minimal 3 hari untuk menjelajah beberapa titik selam terbaik,https://commons.wikimedia.org/wiki/Special:FilePath/Wakatobi-188.jpg?width=800,Foto: Craig D / Wikimedia Commons (CC BY-SA 2.0)
Pulau Hoga,bahari,Wakatobi,Pulau kecil tak berpenghuni permanen yang menjadi rumah bagi pusat riset kelautan internasional dan spot diving populer.,Rp 20.000 + kapal,07:00 - 17:00,"Homestay, dive center, kapal wisata",4.7,-5.47,123.75,0811-4000-028,Booking kapal dari Kaledupa jauh hari terutama musim ramai,,
Pulau Tomia,bahari,Wakatobi,Salah satu pulau utama Wakatobi dengan dinding karang curam (drop off) yang jadi favorit penyelam berpengalaman dari seluruh dunia.,Rp 20.000 + kapal,07:00 - 17:00,"Resort, dive center, bandara perintis",4.7,-5.6167,124.0,0811-4000-029,Tersedia penerbangan perintis langsung dari Kendari ke Bandara Maranggo,,
Pulau Binongko,sejarah,Wakatobi,"Pulau yang dikenal sebagai sentra kerajinan parang dan pisau tradisional turun-temurun, sekaligus menyimpan tradisi pandai besi khas Wakatobi.",Gratis,08:00 - 17:00,"Sentra kerajinan, homestay warga",4.1,-5.9167,123.9333,0811-4000-030,Beli langsung parang khas Binongko sebagai oleh-oleh unik,,
Pasir Timbul Wakatobi,bahari,Wakatobi,"Gugusan pasir putih yang muncul di tengah laut saat air surut, menciptakan pemandangan dramatis dikelilingi laut biru jernih.",Rp 15.000 + kapal,Tergantung jadwal surut,Kapal wisata,4.6,-5.32,123.58,0811-4000-031,Cek jadwal pasang surut sebelum berangkat agar pasir timbul terlihat sempurna,,
Benteng Liya Togo,sejarah,Wakatobi,"Benteng peninggalan Kesultanan Buton di Pulau Wangi-Wangi, di dalamnya terdapat Masjid Mubarok (masjid kedua tertua di Wakatobi setelah Masjid Wolio) serta makam Djilabu, kepala adat pertama sekaligus penyiar agama Islam di Wangi-Wangi dan sekitarnya.",Rp 5.000,08:00 - 17:00,"Pemandu, parkir",4.0,-5.3667,123.5167,0811-4000-032,Kunjungi bersamaan dengan pantai-pantai di sekitar Wangi-Wangi,,
Kuliner Khas Sinonggi,kuliner,Kota Kendari,"Rumah makan yang menyajikan sinonggi, makanan pokok khas suku Tolaki berbahan dasar sagu yang disantap bersama sayur dan lauk khas.",Rp 25.000 - 50.000 per porsi,10:00 - 21:00,"Tempat makan lesehan, parkir",4.3,-3.975,122.51,0811-4000-033,Nikmati sinonggi bersama ikan parende khas Kendari,,
Pasar Wisata Kuliner Kadia,kuliner,Kota Kendari,"Pusat jajanan malam dengan puluhan tenant menjual makanan khas Sultra maupun nusantara, ramai dikunjungi keluarga dan anak muda.",Gratis masuk,17:00 - 23:00,"Parkir luas, tempat duduk bersama, live music",4.0,-3.988,122.535,0811-4000-034,Datang lebih awal untuk mendapat tempat duduk saat weekend,,
Air Terjun Sabilambo,alam,Kolaka,"Air terjun bertingkat yang berada tak jauh dari pusat Kota Kolaka, dikelilingi hutan rindang yang menyejukkan.",Rp 10.000,07:00 - 17:00,"Parkir, warung, gazebo",4.1,-4.0567,121.5987,0811-4000-035,Cocok dipadukan dengan kunjungan ke Pantai Watu Jaru dalam satu hari,,
Toronipa Beach,bahari,Konawe,"Pantai populer dengan pasir putih landai dan air dangkal yang aman untuk anak-anak, banyak wahana permainan air.",Rp 10.000,06:00 - 21:00,"Banana boat, gazebo, warung, toilet",4.4,-3.9123,122.6543,0811-4000-036,Sewa wahana air untuk pengalaman lebih seru bersama keluarga,,
Puncak Wawobalo,alam,Kota Kendari,"Titik ketinggian di pinggiran Kota Kendari yang menawarkan pemandangan Teluk Kendari dari atas, populer untuk menikmati sunrise dan sunset.",Rp 5.000,05:00 - 22:00,"Parkir, gazebo, kafe kecil",4.2,-3.9456,122.4987,0811-4000-037,Waktu terbaik berkunjung adalah pagi hari untuk melihat kabut pagi di teluk,,
Gereja Katedral Kristus Raja Kendari,religi,Kota Kendari,Gereja Katolik tertua dan terbesar di Kendari dengan arsitektur khas yang menjadi salah satu pusat kegiatan keagamaan umat Katolik Sultra.,Gratis,05:00 - 20:00,"Parkir, aula pertemuan",4.3,-3.976,122.522,0811-4000-038,Hormati jadwal ibadah saat berkunjung di luar keperluan wisata religi,,
Klenteng Boen Tek Bio Kendari,religi,Kota Kendari,"Klenteng tertua di Kendari yang telah berdiri sejak awal abad ke-20, menjadi bukti akulturasi budaya Tionghoa di Sulawesi Tenggara.",Gratis,08:00 - 17:00,Parkir terbatas,4.0,-3.9805,122.5165,0811-4000-039,Kunjungi saat perayaan Imlek untuk suasana yang lebih meriah,,
Rumah Makan Khas Buton,kuliner,Kota Baubau,"Menyajikan aneka hidangan khas Buton seperti kasoami (singkong kukus) dan ikan bakar dabu-dabu, favorit wisatawan yang singgah di Baubau.",Rp 20.000 - 45.000 per porsi,10:00 - 21:00,"Tempat makan ber-AC, parkir",4.2,-5.47,122.61,0811-4000-040,Coba kasoami dengan ikan kuah pallu mara sebagai menu wajib,,
Makam Raja-Raja Muna,sejarah,Muna,"Kompleks pemakaman para sultan dan raja Muna zaman dahulu, menyimpan nilai sejarah tinggi tentang Kesultanan Muna.",Rp 5.000,08:00 - 17:00,"Pemandu lokal, parkir",3.9,-4.92,122.59,0811-4000-041,Berpakaian sopan karena lokasi ini dianggap sakral oleh warga setempat,,
Air Terjun Lamesou,alam,Konawe Utara,"Air terjun yang tersembunyi di kawasan Kecamatan Lasolo, mengalir di antara tebing hijau yang masih alami dan jarang ramai pengunjung.",Rp 5.000,07:00 - 17:00,"Parkir, jalur trekking",4.0,-3.42,122.1,0811-4000-042,Gunakan kendaraan double gardan karena akses jalan sebagian masih tanah,,
Permandian Wawolesea,alam,Konawe Utara,Kolam permandian alami berair jernih yang populer sebagai tempat rekreasi keluarga warga Konawe Utara di akhir pekan.,Rp 5.000,07:00 - 18:00,"Kolam permandian, parkir, warung",4.0,-3.55,122.2,0811-4000-043,Ramai dikunjungi warga lokal terutama hari Minggu,,
Air Terjun Laameoru,alam,Konawe Utara,"Air terjun bertingkat di Kecamatan Oheo yang dikelilingi hutan rimbun, cocok untuk pencinta wisata alam yang masih asri.",Rp 5.000,07:00 - 17:00,"Parkir, area bilas",4.1,-3.05,121.95,0811-4000-044,"Perjalanan menuju lokasi cukup menantang, siapkan fisik yang prima",,
Telaga Biru Oheo,alam,Konawe Utara,"Telaga kecil dengan air berwarna biru jernih yang kontras dengan hijaunya vegetasi sekitar, berada di Desa Puuhialu, Kecamatan Oheo.",Rp 5.000,07:00 - 17:00,"Parkir, gazebo",4.2,-3.03,121.93,0811-4000-045,"Air sangat jernih, cocok untuk berenang santai bersama keluarga",,
Taman Wisata Alam Kea-Kea,alam,Kolaka,"Kawasan wisata alam dengan sumber air panas di Kelurahan Ulunggolaka, Kecamatan Latambaga, dipercaya berkhasiat untuk kesehatan kulit.",Rp 10.000,07:00 - 18:00,"Kolam air panas, parkir, warung",4.1,-4.03,121.63,0811-4000-046,Kunjungi sore hari agar suhu air panas terasa lebih nyaman,,
Puncak Sani-Sani,alam,Kolaka,"Desa wisata di dataran tinggi Kolaka yang menyuguhkan panorama pegunungan dan udara sejuk, populer untuk camping dan menikmati sunrise.",Rp 10.000,24 jam,"Area camping, gazebo, parkir",4.3,-4.12,121.75,0811-4000-047,Bawa jaket karena suhu malam hari cukup dingin,,
Danau Biru Kolaka Utara,alam,Kolaka Utara,"Danau kecil bekas area pertambangan di Desa Walasiho, Kecamatan Wawo, yang kini menampilkan warna air biru toska yang memikat.",Rp 5.000,07:00 - 17:00,"Area foto, parkir",4.2,-3.5,121.32,0811-4000-048,"Spot foto favorit, namun jaga jarak aman dari tepian yang curam",,
Gunung Mekongga,alam,Kolaka Utara,"Puncak tertinggi di Sulawesi Tenggara dengan ketinggian sekitar 2.620 mdpl, menjadi tujuan favorit para pendaki berpengalaman.",Rp 15.000 (izin pendakian),Pendakian direncanakan (hubungi pengelola),"Jalur pendakian, pos pendaftaran",4.5,-3.55,121.35,0811-4000-049,"Pendakian 3-4 hari, wajib didampingi pemandu lokal berpengalaman",,
Sungai Tamborasi,alam,Kolaka,"Diklaim sebagai salah satu sungai terpendek di dunia, mengalir langsung berbatasan dengan bibir Pantai Tamborasi di Kecamatan Wolo.",Rp 5.000,07:00 - 18:00,"Parkir, warung, gazebo",4.2,-4.245,121.735,0811-4000-050,Kunjungi bersamaan dengan Air Terjun Tamborasi yang lokasinya berdekatan,,
Bukit Lamando,alam,Buton Selatan,"Bukit dengan padang savana luas di Kecamatan Sampolawa, menawarkan pemandangan lepas ke arah laut dan perbukitan sekitarnya.",Rp 5.000,06:00 - 18:00,"Jalur trekking, area foto",4.1,-5.55,122.62,0811-4000-051,Waktu terbaik saat sore hari menjelang matahari terbenam,,
Hutan Pinus Wasampolala,alam,Kota Baubau,"Kawasan hutan pinus yang sejuk di pinggiran Kota Baubau, populer sebagai tempat bersantai dan berfoto dengan latar pepohonan tinggi.",Rp 5.000,07:00 - 18:00,"Gazebo, area foto, parkir",4.0,-5.44,122.58,0811-4000-052,Udara paling sejuk di pagi hari,,
Air Terjun Lamoahi,alam,Buton Utara,"Air terjun alami yang masih jarang terjamah di Buton Utara, dikelilingi vegetasi hutan tropis yang rimbun.",Rp 5.000,07:00 - 17:00,Jalur setapak,4.0,-4.75,123.05,0811-4000-053,"Akses jalan menuju lokasi cukup menantang, disarankan bersama pemandu lokal",,
Air Terjun La Ocu (Air Terjun Perawan),alam,Buton Utara,Air terjun tersembunyi yang dijuluki 'air terjun perawan' karena kondisinya yang masih sangat alami dan belum banyak dikunjungi wisatawan.,Rp 5.000,07:00 - 17:00,"Belum banyak fasilitas, alami",4.0,-4.78,123.02,0811-4000-054,Cocok untuk wisatawan yang menyukai petualangan alam liar,,
Taman Nasional Rawa Aopa Watumohai,alam,Konawe Selatan,"Taman nasional dataran rendah terluas di Sulawesi yang mencakup ekosistem rawa, savana, dan hutan, serta habitat berbagai satwa endemik.",Rp 10.000,07:00 - 17:00,"Pos pengelola, jalur pengamatan satwa",4.3,-4.35,121.95,0811-4000-055,Bawa teropong untuk mengamati burung dan rusa liar dari kejauhan,,
Agrowisata California,alam,Konawe Selatan,"Kawasan agrowisata di Kecamatan Wolasi dengan kebun buah dan sayur yang bisa dipetik langsung, cocok untuk edukasi anak-anak.",Rp 10.000,08:00 - 17:00,"Kebun petik buah, gazebo, parkir",4.1,-4.25,122.45,0811-4000-056,Datang saat musim panen untuk pengalaman memetik buah langsung,,
Air Terjun Tumburano,alam,Konawe Kepulauan,Air terjun di Pulau Wawonii yang menjadi pelengkap keindahan alam Konawe Kepulauan selain pantai-pantainya yang memesona.,Rp 5.000,07:00 - 17:00,"Parkir, jalur setapak",4.1,-3.95,123.1,0811-4000-057,Kombinasikan kunjungan dengan Pantai Kampa yang searah,,
Pantai Namu,bahari,Konawe Selatan,"Desa wisata pesisir di Kecamatan Laonti dengan pantai berpasir putih dan air laut tenang, dikelola langsung oleh masyarakat setempat.",Rp 10.000,07:00 - 18:00,"Homestay warga, gazebo, perahu wisata",4.3,-4.38,122.72,0811-4000-058,Akses lebih mudah lewat jalur laut dari Pelabuhan Kendari,,
Pulau Senja,bahari,Konawe Selatan,"Pulau kecil dengan pemandangan matahari terbenam yang memikat, menjadikannya favorit wisatawan pencinta senja di kawasan Laonti.",Rp 15.000 + perahu,07:00 - 18:00,"Perahu wisata, gazebo",4.4,-4.4,122.75,0811-4000-059,Waktu terbaik berkunjung adalah sore hari sesuai namanya,,
Labuan Beropa,bahari,Konawe Selatan,"Teluk kecil yang tenang di Kecamatan Laonti dengan air jernih kehijauan, cocok untuk berperahu santai dan memancing.",Rp 10.000,07:00 - 17:00,"Dermaga kecil, perahu sewa",4.2,-4.36,122.7,0811-4000-060,Sewa perahu nelayan setempat untuk berkeliling teluk,,
Pantai Lagunci,bahari,Buton Selatan,"Desa wisata bahari dengan pantai berpasir putih dan laguna alami yang jernih, dikembangkan sebagai desa wisata bahari unggulan Buton Selatan.",Rp 10.000,07:00 - 18:00,"Homestay, gazebo, perahu wisata",4.3,-5.58,122.68,0811-4000-061,Cocok untuk snorkeling santai di area laguna yang tenang,,
Pantai Sombu,bahari,Wakatobi,Titik selam populer di Wakatobi dengan dinding karang (drop off) yang menjadi favorit penyelam untuk melihat biota laut Coral Triangle.,Rp 25.000 + kapal,07:00 - 17:00,"Dive center, kapal wisata",4.7,-5.4,123.58,0811-4000-062,Cocok untuk penyelam menengah-mahir karena arus cukup kuat,,
Desa Wisata Kollo Soha,bahari,Wakatobi,Desa wisata di Pulau Tomia yang menawarkan pantai berpasir putih serta panorama matahari terbenam terbaik di kawasan Wakatobi.,Rp 15.000,07:00 - 18:00,"Homestay, gazebo, area sunset",4.4,-5.63,124.02,0811-4000-063,Menginap semalam untuk menikmati sunrise sekaligus sunset,,
Pantai Membuku,bahari,Buton Utara,"Pantai landai berpasir putih di kawasan Ereke, Buton Utara, dengan air laut jernih yang nyaman untuk berenang bersama keluarga.",Rp 5.000,06:00 - 18:00,"Parkir, gazebo, warung",4.1,-4.8,123.02,0811-4000-064,"Pantai relatif sepi, cocok untuk liburan yang tenang",,
Pantai Bone,bahari,Buton Utara,"Pantai berpasir putih di Buton Utara dengan ombak tenang, menjadi salah satu destinasi favorit warga sekitar saat akhir pekan.",Rp 5.000,06:00 - 18:00,"Parkir, warung sederhana",4.0,-4.77,123.05,0811-4000-065,Bawa perbekalan sendiri karena fasilitas masih terbatas,,
Pantai Eemoamba,bahari,Buton Utara,Pantai eksotis dengan formasi bebatuan alami dan air jernih kehijauan yang menjadi daya tarik tersendiri di pesisir Buton Utara.,Rp 5.000,06:00 - 18:00,"Parkir, area foto",4.1,-4.82,122.98,0811-4000-066,Cocok untuk fotografi lanskap pantai berbatu,,
Pulau Sagori,bahari,Bombana,"Pulau kecil di kawasan Kabaena dengan panorama alam yang tenang, dijuluki warga setempat sebagai 'Segitiga Bermuda Kabaena' karena suasananya yang misterius dan jauh dari keramaian.",Rp 15.000 + perahu,07:00 - 17:00,Perahu wisata,4.3,-4.95,121.9,0811-4000-067,Cocok untuk snorkeling dan mencari ketenangan jauh dari hiruk-pikuk,,
Pantai Kampa,bahari,Konawe Kepulauan,Pantai berpasir putih di Pulau Wawonii yang menjadi salah satu ikon wisata bahari Konawe Kepulauan dengan air laut yang jernih.,Rp 10.000,06:00 - 18:00,"Parkir, gazebo, warung",4.3,-3.93,123.08,0811-4000-068,Gabungkan kunjungan dengan Air Terjun Tumburano yang searah,,
Desa Wisata Batu Belah Tanjung Batu,bahari,Konawe Kepulauan,"Perkampungan terapung Suku Bajo di Pulau Wawonii, menampilkan kehidupan tradisional masyarakat laut yang unik dan otentik.",Rp 10.000,07:00 - 17:00,"Perahu wisata, homestay warga",4.4,-3.9,123.15,0811-4000-069,Hormati adat dan kebiasaan masyarakat Bajo setempat saat berkunjung,,
Pantai Jodoh,bahari,Buton Selatan,"Pantai populer di Kecamatan Batauga dengan legenda lokal yang melekat pada namanya, menawarkan pasir putih dan air laut tenang.",Rp 5.000,06:00 - 18:00,"Parkir, gazebo, warung",4.1,-5.58,122.65,0811-4000-070,"Populer di kalangan muda-mudi setempat, terutama saat sore hari",,
Benteng Tindoi,sejarah,Wakatobi,"Benteng peninggalan masa lalu di Pulau Wangi-Wangi yang berada di titik tertinggi, menawarkan nilai sejarah sekaligus pemandangan laut lepas.",Rp 5.000,08:00 - 17:00,"Pemandu, parkir",4.1,-5.32,123.52,0811-4000-071,Naik ke puncak benteng untuk menikmati panorama 360 derajat,,
Gunung Siontapina,sejarah,Buton,"Puncak tertinggi di Pulau Buton yang dianggap sakral oleh masyarakat Kecamatan Lasalimu, sering dikaitkan dengan berbagai kepercayaan dan ritual adat setempat.",Rp 10.000 (izin pendakian),Pendakian direncanakan,"Jalur pendakian, pos pendaftaran",4.2,-5.28,122.88,0811-4000-072,Hormati aturan dan pantangan adat setempat selama pendakian,,
Gua Jepang Buton Selatan,sejarah,Buton Selatan,Gua peninggalan masa pendudukan Jepang yang menyimpan jejak sejarah Perang Dunia II di kawasan Buton Selatan.,Rp 5.000,08:00 - 17:00,"Pemandu lokal, senter (bawa sendiri)",3.9,-5.57,122.6,0811-4000-073,Gunakan senter dan alas kaki yang tidak licin saat menyusuri gua,,
Masjid Tertua Wawoangi,religi,Buton Selatan,"Salah satu masjid tertua di kawasan Buton Selatan, menjadi saksi sejarah penyebaran Islam di wilayah tersebut sejak masa lampau.",Gratis,05:00 - 20:00,"Parkir, tempat wudhu",4.2,-5.6,122.58,0811-4000-074,Berpakaian sopan dan hormati waktu ibadah saat berkunjung,,
Gua Moko,sejarah,Kota Baubau,"Gua alami yang menjadi salah satu destinasi wajib di Kota Baubau, menyimpan formasi batuan unik hasil proses alam selama ribuan tahun.",Rp 5.000,08:00 - 17:00,"Pemandu, parkir, penerangan",4.0,-5.48,122.63,0811-4000-075,Gunakan jasa pemandu setempat agar lebih memahami cerita di balik gua,,
Makam Raja Sangia Nibandera,religi,Kolaka,"Kompleks pemakaman Raja Sangia Nibandera, raja pertama suku Mekongga yang memeluk Islam dan berjasa menyebarkan agama Islam di Kolaka, terletak di Kecamatan Wundulako.",Gratis,07:00 - 18:00,"Parkir, area ziarah",4.1,-4.1,121.68,0811-4000-076,Berjarak sekitar 13 km atau 22 menit berkendara dari pusat Kota Kolaka,,
